"млн лет назад","T anomaly"
0.8164,-1.91
0.8184,-1.62
0.82,-1.57
0.8216,-1.47
0.8231,-1.52
0.8247,-1.4
0.8267,-1.72
0.8283,-1.63
0.8304,-1.59
0.8325,-1.59
0.8341,-1.55
0.8357,-1.29
0.8373,-1.26
0.839,-1.1
0.8404,-0.77
0.842,-0.68
0.8436,-0.61
0.8452,-0.52
0.8468,-0.71
0.8486,-0.92
0.8503,-0.74
0.8519,-0.85
0.8543,-0.89
0.8561,-0.3
0.8577,-0.37
0.8596,-0.86
0.8612,-0.85
0.8623,-1.25
0.8638,-1.83
0.8654,-2.11
0.8674,-2.39
0.869,-2.89
0.8706,-3.04
0.8722,-3.47
0.8742,-3.59
0.8758,-3.52
0.8777,-3.08
0.8799,-3.16
0.8815,-3.06
0.8827,-3.03
0.8841,-2.88
0.8855,-3.22
0.8867,-2.97
0.8879,-3.02
0.8891,-2.78
0.8901,-2.85
0.8911,-2.79
0.8923,-2.69
0.8935,-2.56
0.8947,-2.66
0.8957,-2.32
0.8971,-2.28
0.8983,-2.31
0.8997,-2.16
0.9012,-2.04
0.9026,-2.23
0.9038,-2.17
0.905,-2.03
0.906,-2.1
0.9069,-2.1
0.9079,-1.88
0.909,-1.69
0.9096,-1.83
0.9104,-1.8
0.911,-1.99
0.9119,-2.16
0.9127,-2.57
0.9137,-2.79
0.9145,-2.9
0.9158,-2.4
0.9171,-2.51
0.9189,-2.39
0.9205,-2.01
0.9221,-1.89
0.9239,-2.26
0.9255,-2.07
0.9265,-1.94
0.928,-1.89
0.9296,-1.74
0.9308,-1.63
0.9324,-1.41
0.9338,-1.25
0.9347,-1.23
0.9361,-1.18
0.9374,-1.07
0.9383,-0.99
0.9399,-0.82
0.9415,-0.62
0.9425,-0.52
0.9433,-0.47
0.9445,-0.44
0.9453,-0.42
0.9465,-0.27
0.948,-0.1
0.9496,-0.05
0.9509,0.2
0.9523,0.37
0.9535,0.36
0.9544,0
0.9556,0
0.957,-0.65
0.958,-1.35
0.9592,-1.97
0.9608,-2.21
0.962,-2.78
0.9632,-2.65
0.9646,-2.43
0.9658,-2.37
0.9671,-2.3
0.9685,-1.98
0.9697,-2
0.9711,-1.85
0.9727,-1.45
0.9738,-1.31
0.9751,-1.27
0.9767,-1.32
0.9779,-1.42
0.9789,-1.62
0.9805,-1.67
0.9818,-1.8
0.9828,-1.79
0.9844,-1.58
0.9858,-1.66
0.9868,-1.72
0.9878,-1.85
0.9892,-1.67
0.99,-1.83
0.9909,-1.8
0.9923,-1.46
0.9937,-1.28
0.9948,-1.24
0.9964,-1.3
0.9981,-1.25
0.9996,-1.3
1.0012,-1.41
1.0027,-1.88
1.0042,-1.94
1.0055,-2.19
1.0068,-2.58
1.008,-2.44
1.0094,-2.24
1.0105,-2.16
1.0117,-1.99
1.013,-1.79
1.0143,-1.69
1.0155,-1.42
1.0167,-1.29
1.0179,-1.2
1.019,-1.03
1.0201,-1.13
1.0213,-1.2
1.0223,-0.97
1.0233,-0.93
1.0242,-0.76
1.0253,-0.55
1.0261,-0.62
1.0273,-0.85
1.0285,-0.9
1.0297,-1.05
1.0306,-1.31
1.0317,-1.56
1.0326,-1.86
1.0334,-2.08
1.0341,-2.61
1.0349,-2.74
1.0356,-2.82
1.0364,-2.7
1.0374,-2.84
1.0384,-2.87
1.04,-2.96
1.0422,-2.94
1.0442,-3.01
1.0458,-2.7
1.048,-2.37
1.0496,-2.04
1.0504,-1.91
1.0516,-1.7
1.0531,-1.62
1.054,-1.67
1.055,-1.71
1.0566,-1.15
1.0578,-1.14
1.0588,-0.81
1.0601,-0.29
1.0615,0.08
1.0623,-0.14
1.0635,0.5
1.0649,0.67
1.066,0.45
1.0671,0.73
1.0687,0.92
1.0701,0.63
1.0713,0.28
1.0729,0.12
1.0746,-0.07
1.0758,-0.32
1.0772,-0.52
1.0784,-0.78
1.08,-0.94
1.0818,-1.06
1.0837,-0.99
1.0853,-1.2
1.0877,-1.35
1.0893,-1.33
1.0905,-1.49
1.092,-1.52
1.0936,-1.69
1.095,-1.44
1.0966,-1.55
1.0983,-1.53
1.1,-1.62
1.1016,-1.5
1.1029,-1.6
1.1044,-1.31
1.1056,-1.42
1.1071,-1.13
1.1085,-1
1.1097,-1.12
1.1115,-1.3
1.1131,-1.36
1.1144,-1.65
1.1162,-1.91
1.1185,-2.03
1.1201,-2.27
1.1224,-2.61
1.1246,-2.78
1.1265,-2.77
1.1282,-3.06
1.1298,-3.04
1.1309,-2.65
1.1325,-2.64
1.1341,-2.45
1.1357,-2.11
1.138,-1.87
1.1402,-1.87
1.142,-1.6
1.1439,-1.5
1.1455,-1.35
1.1464,-1.42
1.1476,-1.42
1.1487,-1.23
1.1497,-1.33
1.1511,-1.32
1.1527,-1.25
1.1545,-1.08
1.1564,-1.29
1.158,-1.01
1.1596,-0.76
1.1612,-0.75
1.1626,-0.57
1.1638,-0.62
1.1654,-0.79
1.1667,-0.81
1.1679,-0.73
1.1691,-0.85
1.1705,-0.64
1.1717,-0.44
1.173,-0.62
1.1742,-0.65
1.1754,-0.52
1.1766,-0.41
1.1778,-0.7
1.1789,-0.49
1.1801,-0.45
1.1813,-0.76
1.1825,-0.83
1.1837,-0.4
1.1851,-0.7
1.1865,-0.99
1.1875,-0.62
1.1883,-0.69
1.1895,-1.19
1.1905,-1.35
1.1913,-0.97
1.1927,-1.5
1.1939,-1.81
1.1948,-1.96
1.1957,-1.84
1.1971,-2.28
1.198,-2.44
1.1994,-2.45
1.2009,-2.54
1.2023,-2.83
