"ky before 2015","T anomaly"
24.065,-6.28
24.065,-6.75
24.115,-6.75
24.115,-5.86
24.165,-5.86
24.165,-6.46
24.215,-6.46
24.215,-6.62
24.265,-6.62
24.265,-6.49
24.315,-6.49
24.315,-6.94
24.365,-6.94
24.365,-5.58
24.415,-5.58
24.415,-5.63
24.465,-5.63
24.465,-6.15
24.515,-6.15
24.515,-6.73
24.565,-6.73
24.565,-6.12
24.615,-6.12
24.615,-5.67
24.665,-5.67
24.665,-6.57
24.715,-6.57
24.715,-6.16
24.765,-6.16
24.765,-5.78
24.815,-5.78
24.815,-6.67
24.865,-6.67
24.865,-7.22
24.915,-7.22
24.915,-5.35
24.965,-5.35
24.965,-6.12
25.015,-6.12
25.015,-6.16
25.065,-6.16
25.065,-6.99
25.115,-6.99
25.115,-7.14
25.165,-7.14
25.165,-6.71
25.215,-6.71
25.215,-6.37
25.265,-6.37
25.265,-7.14
25.315,-7.14
25.315,-6.85
25.365,-6.85
25.365,-6.16
25.415,-6.16
25.415,-6.16
25.465,-6.16
25.465,-7.14
25.515,-7.14
25.515,-5.43
25.565,-5.43
25.565,-6.01
25.615,-6.01
25.615,-5.28
25.665,-5.28
25.665,-5.65
25.715,-5.65
25.715,-5.96
25.765,-5.96
25.765,-5.67
25.815,-5.67
25.815,-5.58
25.865,-5.58
25.865,-5.41
25.915,-5.41
25.915,-5.78
25.965,-5.78
25.965,-6.42
26.015,-6.42
26.015,-7.78
26.065,-7.78
26.065,-6.87
26.115,-6.87
26.115,-6.23
26.165,-6.23
26.165,-5.96
26.215,-5.96
26.215,-6.1
26.265,-6.1
26.265,-6.69
26.315,-6.69
26.315,-6.63
26.365,-6.63
26.365,-6
26.415,-6
26.415,-6.51
26.465,-6.51
26.465,-6.18
26.515,-6.18
26.515,-5.49
26.565,-5.49
26.565,-6.55
26.615,-6.55
26.615,-6.55
26.665,-6.55
26.665,-5.35
26.715,-5.35
26.715,-5.55
26.765,-5.55
26.765,-6.16
26.815,-6.16
26.815,-6.09
26.865,-6.09
26.865,-5.89
26.915,-5.89
26.915,-6.62
26.965,-6.62
26.965,-6.87
27.015,-6.87
27.015,-7.01
27.065,-7.01
27.065,-6.28
27.115,-6.28
27.115,-5.85
27.165,-5.85
27.165,-4.65
27.215,-4.65
27.215,-4.13
27.265,-4.13
27.265,-3.31
27.315,-3.31
27.315,-3.14
27.365,-3.14
27.365,-2.37
27.415,-2.37
27.415,-5.98
27.465,-5.98
27.465,-6.37
27.515,-6.37
27.515,-6.44
27.565,-6.44
27.565,-6.46
27.615,-6.46
27.615,-7.2
27.665,-7.2
27.665,-6.72
27.715,-6.72
27.715,-7.01
27.765,-7.01
27.765,-6.61
27.815,-6.61
27.815,-6.69
27.865,-6.69
27.865,-6.93
27.915,-6.93
27.915,-6.39
27.965,-6.39
27.965,-7.1
28.015,-7.1
28.015,-6.27
28.065,-6.27
28.065,-6.41
28.115,-6.41
28.115,-6.78
28.165,-6.78
28.165,-5.98
28.215,-5.98
28.215,-6
28.265,-6
28.265,-4.02
28.315,-4.02
28.315,-3.84
28.365,-3.84
28.365,-3.93
28.415,-3.93
28.415,-3.86
28.465,-3.86
28.465,-2.86
28.515,-2.86
28.515,-3.76
28.565,-3.76
28.565,-5.46
28.615,-5.46
28.615,-6.28
28.665,-6.28
28.665,-6.85
28.715,-6.85
28.715,-6.63
28.765,-6.63
28.765,-6.98
28.815,-6.98
28.815,-6.36
28.865,-6.36
28.865,-6.67
28.915,-6.67
28.915,-6.81
28.965,-6.81
28.965,-6.31
29.015,-6.31
29.015,-6.21
29.065,-6.21
29.065,-6.68
29.115,-6.68
29.115,-7.37
29.165,-7.37
