"н.э.","T anomaly"
526,-0.2305
527,-0.1658
528,-0.2196
529,-0.1915
530,-0.1997
531,-0.3422
532,-0.1841
533,-0.1535
534,-0.1287
535,-0.1629
536,-0.4439
537,-0.3183
538,-0.2788
539,-0.2438
540,-0.2927
541,-0.3522
542,-0.374
543,-0.4511
544,-0.4004
545,-0.4237
546,-0.3742
547,-0.3315
548,-0.3087
549,-0.3752
550,-0.3761
551,-0.3919
552,-0.3112
553,-0.3144
554,-0.2818
555,-0.2803
556,-0.2286
557,-0.2523
558,-0.1609
559,-0.2048
560,-0.2575
561,-0.1985
562,-0.2623
563,-0.2489
564,-0.2542
565,-0.2299
566,-0.1785
567,-0.1643
568,-0.1188
569,-0.2572
570,-0.1389
571,-0.1258
572,-0.1265
573,-0.1329
574,-0.2143
575,-0.2816
576,-0.267
577,-0.2189
578,-0.2276
579,-0.2681
580,-0.2619
581,-0.2007
582,-0.2293
583,-0.1738
584,-0.1912
585,-0.243
586,-0.1278
587,-0.2357
588,-0.1527
589,-0.1791
590,-0.0571
591,-0.1999
592,-0.0718
593,-0.0369
594,-0.0038
595,-0.0718
596,-0.2427
597,-0.1014
598,-0.1128
599,-0.1661
600,-0.1299
601,-0.1876
602,-0.0778
603,-0.2038
604,-0.0439
605,-0.0297
606,-0.1468
607,-0.119
608,-0.2686
609,-0.1797
610,-0.2179
611,-0.2037
612,-0.2229
613,-0.2198
614,-0.1758
615,-0.1799
616,-0.162
617,-0.2735
618,-0.134
619,-0.128
620,-0.117
621,-0.168
622,-0.1765
623,-0.1829
624,-0.2028
625,-0.1918
626,-0.1877
627,-0.4157
628,-0.2496
629,-0.1303
630,-0.195
631,-0.3095
632,-0.2363
633,-0.2378
634,-0.2379
635,-0.2149
636,-0.2049
637,-0.2637
638,-0.2668
639,-0.2719
640,-0.2227
641,-0.2687
642,-0.2509
643,-0.258
644,-0.2476
645,-0.2953
646,-0.308
647,-0.3665
648,-0.4069
649,-0.3172
650,-0.2511
651,-0.3045
652,-0.1432
653,-0.2246
654,-0.242
655,-0.1598
656,-0.1056
657,-0.1315
658,-0.2072
659,-0.1819
660,-0.2417
661,-0.1951
662,-0.271
663,-0.2307
664,-0.2881
665,-0.1915
666,-0.2019
667,-0.1509
668,-0.2226
669,-0.1731
670,-0.0967
671,-0.03
672,-0.0919
673,-0.073
674,-0.0168
675,-0.1148
676,-0.1738
677,-0.0919
678,-0.1337
679,-0.103
680,-0.098
681,-0.1987
682,-0.2108
683,-0.1496
684,-0.2756
685,-0.2638
686,-0.2696
687,-0.3248
688,-0.3049
689,-0.3329
690,-0.4069
691,-0.3554
692,-0.4116
693,-0.4609
694,-0.4564
695,-0.3703
696,-0.3218
697,-0.363
698,-0.2774
699,-0.3734
700,-0.2773
701,-0.1876
702,-0.2477
703,-0.1851
704,-0.1553
705,-0.1568
706,-0.2108
707,-0.1859
708,-0.0667
709,-0.1836
710,-0.1149
711,-0.1646
712,-0.1585
713,-0.2267
714,-0.2294
715,-0.252
716,-0.2268
717,-0.2412
718,-0.208
719,-0.1709
720,-0.232
721,-0.1634
722,-0.1999
723,-0.2205
724,-0.1989
725,-0.1327
726,-0.1908
727,-0.1458
728,-0.1171
729,-0.1228
730,-0.1329
731,-0.1138
