"ky before 2015","T anomaly"
37.165,-3.94
37.214,-3.945
37.263,-3.31
37.309,-3.895
37.355,-3.42
37.402,-3.955
37.449,-3.42
37.496,-4.07
37.545,-3.425
37.59,-3.59
37.636,-3.02
37.678,-3.09
37.721,-3.135
37.762,-2.57
37.802,-3.205
37.844,-2.61
37.884,-2.33
37.923,-3.08
37.964,-3.585
38.01,-3.615
38.057,-3.93
38.104,-2.99
38.147,-2.75
38.189,-3.565
38.234,-3.625
38.28,-3.815
38.328,-2.915
38.371,-3.64
38.416,-3.145
38.46,-3.285
38.504,-3.515
38.549,-3.31
38.594,-3.195
38.637,-3.205
38.681,-3.17
38.725,-3.41
38.769,-3.59
38.816,-3.765
38.863,-3.075
38.907,-3.445
38.951,-3.295
38.996,-3.23
39.041,-3.89
39.088,-3.435
39.134,-2.975
39.176,-4.025
39.226,-3.865
39.276,-4.1
39.326,-4.025
39.377,-3.985
39.427,-4.1
39.478,-3.985
39.528,-4.015
39.58,-4.51
39.634,-4.6
39.69,-4.55
39.745,-4.09
39.797,-4.62
39.852,-3.915
39.903,-4.24
39.955,-3.87
40.005,-4.06
40.055,-3.6
40.104,-4.125
40.154,-3.87
40.203,-3.795
40.253,-4.315
40.306,-4.265
40.358,-4.205
40.41,-3.595
40.459,-3.77
40.506,-3.63
40.555,-4.27
40.608,-4.445
40.662,-4.36
40.716,-4.35
40.77,-4.41
40.824,-4.21
40.877,-4.07
40.93,-4.695
40.985,-4.075
41.037,-4.01
41.088,-3.885
41.138,-3.785
41.188,-4.29
41.239,-3.655
41.288,-3.225
41.334,-3.775
41.382,-3.79
41.431,-3.915
41.481,-4.285
41.534,-3.33
41.581,-4.415
41.634,-3.895
41.685,-4.365
41.739,-3.975
41.79,-4.11
41.842,-4.485
41.897,-4.18
41.95,-4.4
42.005,-4.37
42.06,-4.375
42.115,-4.53
42.171,-4.52
42.226,-4.11
42.28,-4.445
42.333,-3.76
42.384,-4.09
42.436,-4.18
42.488,-3.77
42.538,-3.775
42.587,-3.885
42.638,-4.23
42.69,-3.56
42.739,-4.26
42.791,-3.805
42.842,-3.97
42.892,-3.705
42.941,-3.375
42.987,-3.535
43.034,-3.51
43.082,-3.6
43.129,-3.31
43.175,-3.415
43.222,-3.755
43.27,-3.415
43.317,-4.015
43.368,-3.965
43.419,-3.235
43.465,-3.465
43.512,-3.68
43.56,-3.95
43.611,-4.03
43.662,-3.685
43.712,-3.785
43.761,-3.905
43.811,-3.61
43.861,-4.21
43.914,-4.34
43.967,-4.01
44.019,-3.97
44.07,-4.37
44.123,-4.33
44.177,-4.155
44.231,-4.41
44.286,-4.385
44.341,-4.22
44.395,-4.02
44.447,-3.52
44.496,-3.815
44.547,-4.365
44.6,-4.15
44.653,-4.23
44.706,-3.95
44.757,-3.785
44.808,-3.96
44.859,-3.9
44.91,-3.89
44.961,-3.785
45.011,-3.825
45.061,-3.875
45.111,-3.585
45.16,-3.56
45.208,-3.31
45.254,-3.52
45.302,-3.5
45.349,-3.46
45.396,-3.295
45.442,-3.395
45.489,-3.255
45.535,-3.485
45.582,-3.45
45.627,-2.635
45.671,-3.525
45.717,-3.095
45.762,-3.345
45.807,-2.72
45.85,-3.005
45.892,-2.675
45.935,-3.14
45.977,-2.125
46.016,-2.57
46.057,-3.015
46.101,-3.43
46.145,-2.9
46.189,-2.62
46.23,-3.19
46.275,-3.155
46.319,-3.06
46.363,-3.09
46.406,-2.85
46.449,-2.86
